id,symbol,current_price,market_cap,total_volume
bitcoin,btc,112011.0,2231323820284,38955048963
ethereum,eth,4311.95,520479667181,28140561502
ripple,xrp,2.96,176655092931,5874670647
tether,usdt,1.0,168942101846,87044958612
binancecoin,bnb,876.62,121992556548,1083789307
solana,sol,214.6,116330640750,10340110424
usd-coin,usdc,0.9998,72593930604,7742224794
staked-ether,steth,4308.13,37383962771,73283304
dogecoin,doge,0.236409,35671328610,3313631144
cardano,ada,0.866785,31641377528,1759565805
